,IYC,IDU,IYZ,IYW,IYJ,IYH,IYF,IYE,IYK,IYM,IYR
2005-04-12 00:00:00+00:00,12.5442798252,21.4225559129,14.6033415294,9.9255167794,21.7244363875,47.3224612419,33.535054407,16.5363200309,37.0550647695,37.2162428651,29.8295518027
2005-04-13 00:00:00+00:00,12.4183675234,21.2473202817,14.5031470764,9.7548076456,21.3468936841,47.3461501096,33.1076002872,16.1571489484,36.59440659,36.140501139,29.7699030728
2005-04-14 00:00:00+00:00,12.2903211149,21.0253551489,14.3966904701,9.6107025327,21.0204765552,47.2592909282,32.6509185353,16.0835451501,36.3082401452,35.0279189429,29.5909568831
2005-04-15 00:00:00+00:00,12.0769104339,20.6339955726,14.1086314176,9.3069732946,20.7176558452,47.6383128104,32.3184542199,15.508097272,35.8545616351,34.1511157552,29.4509120389
2005-04-18 00:00:00+00:00,12.1003856089,20.7712634837,14.1524664908,9.3114072981,20.7805796291,47.2434983498,32.585156363,15.7868995385,35.7219479168,34.6816185243,29.5650226527
2005-04-19 00:00:00+00:00,12.1089220361,21.0370375243,14.177515104,9.4200403832,20.9103599334,47.3777352664,32.6984134375,16.1236926764,36.0220737004,35.4110598317,29.8243649566
2005-04-20 00:00:00+00:00,11.8912431415,20.84427833,14.0334855778,9.362398338,20.6507993249,46.690758105,32.2599989556,15.7846691204,35.3729644475,34.6889866183,29.6687595743
2005-04-21 00:00:00+00:00,12.1558723859,21.0019903981,14.2213501773,9.6350895518,21.1777860149,47.3935278448,32.4682458345,16.2039877292,36.0918703943,35.3005384214,29.7439688424
2005-04-22 00:00:00+00:00,11.9509981322,21.1655436539,14.2088258706,9.5198054614,20.9300236159,47.2829797959,32.4170974783,16.3132782177,35.8685209739,34.9247656267,29.8062109954
2005-04-25 00:00:00+00:00,12.0705081135,21.3495410666,14.2401366372,9.5929665188,21.2053151704,47.2750835067,32.8043636039,16.5653154666,36.2035451044,35.3963236436,30.2911811038
2005-04-26 00:00:00+00:00,12.0150213365,21.1129729645,14.1587286441,9.4865504353,20.9418218254,47.1329503009,32.6615135519,16.3445040715,35.9452973372,34.7184589943,30.2704337195
2005-04-27 00:00:00+00:00,12.0363624046,21.2239555309,14.3403310902,9.5175884597,20.9890146633,47.4882833154,33.0783726551,15.9519504803,35.9801956841,34.2321647894,30.5142154852
2005-04-28 00:00:00+00:00,11.8848408211,21.0662434628,14.315282477,9.3956533641,20.7255213182,47.0539874088,32.7495617937,15.575009816,35.742886925,33.996385781,30.3663903719
2005-04-29 00:00:00+00:00,11.9019136756,21.3261763158,14.3779040101,9.5109374545,20.9024944604,47.6935868349,33.1733624595,15.7400607577,35.8475819658,34.6668823362,30.7346564436
2005-05-02 00:00:00+00:00,12.0022166956,21.4371588822,14.2338744839,9.5508434857,20.9968801363,47.8909940651,33.3195006201,16.0166326061,36.0709313861,34.9689741908,30.698348521
2005-05-03 00:00:00+00:00,12.0235577637,21.3174145342,14.2213501773,9.5663624979,20.8631670955,48.1199864522,33.2720057179,15.6530744506,36.2244841126,35.1310722591,30.8487670573
2005-05-04 00:00:00+00:00,12.2113591629,21.3524616605,14.2526609438,9.68386359,21.1345259135,48.4516305991,33.9186670786,15.8426599918,36.6013862594,35.8089369084,30.9395368637
2005-05-05 00:00:00+00:00,12.2028227357,21.2590026572,14.2150880239,9.6705615796,21.0676693931,48.4437343099,33.8163703662,16.0121717698,36.503670888,35.7352559683,31.1262633226
2005-05-06 00:00:00+00:00,12.2028227357,21.2327173125,14.196301564,9.7193356178,21.114862231,48.1989493444,33.5679354931,15.9586417347,36.4408538636,35.7942007204,30.9213829024
2005-05-09 00:00:00+00:00,12.2476389787,21.4108735375,14.2276123306,9.7725436595,21.2249788528,48.6253489618,33.8529049063,16.1616097847,36.538569235,35.8384092845,31.4348806643
2005-05-10 00:00:00+00:00,12.132397211,21.2765262203,14.1399421842,9.6461745605,20.9929473998,48.372667707,33.4619853267,15.9028812814,36.322199484,35.2784341394,31.3804187805
2005-05-11 00:00:00+00:00,12.143067745,21.3787470051,14.1462043375,9.7326376282,21.1699205419,48.5700749373,33.6044700333,16.0210934424,36.5525285737,35.2489617633,31.4737820099
2005-05-12 00:00:00+00:00,12.1003856089,21.1363377153,14.0835828043,9.7370716317,20.9221581429,48.4042528638,33.2208573617,15.3698113478,36.2454231208,34.1732200373,31.1988791677
2005-05-13 00:00:00+00:00,12.0363624046,20.8179929853,13.9395532781,9.8501387203,20.7923778386,48.0094384033,33.060105385,15.086548245,35.9662363453,33.6206129862,30.8876684029
2005-05-16 00:00:00+00:00,12.1985545221,20.9260549579,14.1023692643,9.9587718055,21.0362075012,48.6174526725,33.5935096712,14.9995619379,36.3640775003,33.5543001401,31.2611213206
2005-05-17 00:00:00+00:00,12.2796505808,21.2035113739,14.177515104,10.0031118402,21.2131806434,48.6806229862,33.7944496421,15.2337558418,36.6711829533,34.1437476612,31.4478477795
2005-05-18 00:00:00+00:00,12.490927155,21.241479094,14.296496017,10.1605189636,21.5120686168,48.7201044323,34.1707554057,15.2627512775,37.1248614634,34.9910784729,31.8109270051
2005-05-19 00:00:00+00:00,12.5814132837,21.3144939404,14.3966904701,10.2425480279,21.554542171,48.7990673244,34.2471125946,15.5504752165,37.3342515449,34.8731889686,32.3373918821
2005-05-20 00:00:00+00:00,12.5485480388,21.3378586912,14.4092147767,10.2735860522,21.5395977723,48.7201044323,34.2730521181,15.4188805467,37.4319669163,34.556360926,32.32701819
2005-05-23 00:00:00+00:00,12.6275099908,21.261923251,14.4280012366,10.30905808,21.720503651,48.9017190841,34.2840124801,15.6575352868,37.424987247,34.9689741908,32.3373918821
2005-05-24 00:00:00+00:00,12.6040348159,21.2852880018,14.3278067836,10.3556151165,21.681176286,48.9412005302,34.0757656013,15.7489824303,37.3621702225,34.8879251567,31.9769060796
2005-05-25 00:00:00+00:00,12.5378775048,21.3057321588,14.3528553969,10.3356621009,21.4609430424,48.6490378294,34.006349975,15.9631025709,37.1597598103,34.3942628577,31.5982663158
2005-05-26 00:00:00+00:00,12.6125712431,21.4050323498,14.4530498499,10.4332101773,21.6064542927,48.8543413489,34.1780623137,16.065701805,36.8526543573,34.7037228063,31.478968856
2005-05-27 00:00:00+00:00,12.636046418,21.5160149162,14.4906227698,10.4354271791,21.6339834481,48.7358970107,34.24747794,16.3288911446,37.2574751817,34.8584527806,31.6397610844
2005-05-31 00:00:00+00:00,12.5720232137,21.5948709503,14.5031470764,10.3777851339,21.5474632453,48.4042528638,34.240171032,16.1772227116,37.1458004715,34.541624738,31.8861362732
2005-06-01 00:00:00+00:00,12.6637898065,21.8051537077,14.5031470764,10.4708992069,21.7008399685,48.6490378294,34.492259359,16.4827899957,37.3691498919,35.1605446352,32.32701819
2005-06-02 00:00:00+00:00,12.7683610402,21.7847095507,14.5782929162,10.5263242503,21.7008399685,48.7280007215,34.4447644568,16.4850204138,37.4598855939,35.057391319,32.2362483836
2005-06-03 00:00:00+00:00,12.6616556997,21.8051537077,14.6033415294,10.4088231582,21.5946560832,48.4358380207,34.2255572159,16.5675458847,37.1946581572,35.0205508489,32.1273246159
2005-06-06 00:00:00+00:00,12.7043378359,21.8343596462,14.5219335363,10.3755681321,21.6182525022,48.4279417315,34.3790022845,16.6099238292,37.1806988185,34.9395018148,32.4437222267
2005-06-07 00:00:00+00:00,12.7192765836,21.8664861786,14.5970793761,10.3356621009,21.689041759,48.4674231775,34.3936161006,16.4627162325,37.3900889,35.1089679771,32.6771303003
2005-06-08 00:00:00+00:00,12.6488510588,21.8898509294,14.5908172228,10.3400961043,21.6025215562,48.1357790307,34.4155368247,16.4894812501,37.3412312143,34.9173975327,32.8482962209
2005-06-09 00:00:00+00:00,12.6936673018,21.919056868,14.5908172228,10.4088231582,21.5985888197,48.4753194667,34.477645543,16.9556386397,37.2644548511,34.8510846866,32.8846041435
2005-06-10 00:00:00+00:00,12.6851308746,22.0504835914,14.6597009093,10.3201430887,21.6025215562,48.2542233688,34.3716953765,16.9690211485,37.3063328674,35.1310722591,32.853483067
2005-06-13 00:00:00+00:00,12.7192765836,22.1497837824,14.7285845957,10.3489641113,21.6025215562,48.5542823589,34.3607350145,16.9957861661,37.3551905531,35.4036917376,33.0402095259
2005-06-14 00:00:00+00:00,12.8494570989,22.2111162533,14.7411089024,10.2824540592,21.6103870292,48.8780302165,34.5251404452,17.0537770375,37.3900889,35.5584217119,33.2891781377
2005-06-15 00:00:00+00:00,12.8451888853,22.1351808131,14.7849439756,10.3400961043,21.5789251372,48.7674821676,34.6383975196,17.26566676,37.4110279082,35.7794645324,33.2010017543
2005-06-16 00:00:00+00:00,12.8686640602,22.1147366561,14.7786818222,10.3888701426,21.6772435495,49.0359560007,34.7808822262,17.5846165529,37.4947839408,36.3983844295,33.3410465985
2005-06-17 00:00:00+00:00,12.8750663806,22.2724487242,14.8062352968,10.3800021356,21.7952256443,49.2886372555,34.9379807489,17.8366538018,37.7390723693,36.3394396774,33.7352469005
2005-06-20 00:00:00+00:00,12.8823436849,22.3749615684,14.8431820014,10.3590514692,21.7773710207,49.3586773408,34.8828501278,17.851441474,37.634726312,35.906637835,33.6744570645
2005-06-21 00:00:00+00:00,12.8759388073,22.3720202037,14.7990995771,10.4278307786,21.7143737442,49.2795642179,34.9562413547,17.4889983711,37.6697614324,35.6476779496,33.2972696176
2005-06-22 00:00:00+00:00,12.8951534399,22.5308538996,14.8053970663,10.45223634,21.6120031698,49.0343135371,34.9892674068,17.5852024046,37.5776190658,35.6994699267,33.3182244757
2005-06-23 00:00:00+00:00,12.7072770322,22.5867398296,14.6731497935,10.3834570306,21.2064582024,48.7020384212,34.6553373245,17.5180833114,37.1442346267,34.9077925625,33.1872566122
2005-06-24 00:00:00+00:00,12.5898542774,22.3896683921,14.6038774125,10.2259302252,21.0214037026,48.417231179,34.6296503951,17.4330657934,36.6467359173,34.4046704993,32.9096047416
2005-06-27 00:00:00+00:00,12.5642347672,22.5632089117,14.5849849449,10.1504948536,21.0214037026,48.3222954316,34.6076330271,17.7149659846,36.5906797247,34.3750750838,33.0510500342
2005-06-28 00:00:00+00:00,12.7200867873,22.7691044435,14.6983397502,10.2436797244,21.3363900851,48.7653289195,34.8828501278,17.4196419748,37.0601503378,34.8486017315,33.2134501849
2005-06-29 00:00:00+00:00,12.6880623996,22.7014530545,14.761314642,10.263647911,21.2970167873,48.7653289195,35.0479803882,17.3681840034,37.0111011692,34.8929948547,33.3077470467
2005-06-30 00:00:00+00:00,12.6261485834,22.751456255,14.7361246853,10.1549322284,21.1395235961,48.3381180561,34.8241371463,17.2272339078,36.6957850858,34.3306819606,33.3182244757
2005-07-01 00:00:00+00:00,12.6368233793,22.9838240694,14.7990995771,10.1815564772,21.2064582024,48.3855859298,34.9525717933,17.5650666766,36.7238131821,34.3454796683,33.6063537754
2005-07-05 00:00:00+00:00,12.7926753993,23.0397099994,14.8431820014,10.2281489126,21.3639513936,48.527989551,35.2094410873,18.1087313311,36.9550449766,34.5082544535,33.9678250787
2005-07-06 00:00:00+00:00,12.6837924812,22.6661566776,14.7739096204,10.252554474,21.159210245,48.3539406807,34.9819282841,17.8089327151,36.6467359173,34.3824739377,33.8420959298
2005-07-07 00:00:00+00:00,12.681657522,22.8396971972,14.7361246853,10.2680852858,21.1749595641,48.3539406807,35.0259630202,17.9812050541,36.5836727006,34.5082544535,33.9730637933
2005-07-08 00:00:00+00:00,12.871668889,23.0514754584,14.8809669365,10.4943914006,21.5293192444,48.9868456634,35.3598931024,17.8805264144,37.0881784341,35.1593535941,34.4445481019
2005-07-11 00:00:00+00:00,12.9293127868,23.2073677895,14.9250493607,10.574264147,21.6553137974,49.0343135371,35.5213538015,17.9923915697,37.3894804693,35.6476779496,34.8741226942
2005-07-12 00:00:00+00:00,13.0189810723,23.292667367,14.9565368067,10.6607929556,21.5883791912,49.168805846,35.580066783,18.1422908777,37.4665577342,35.6698745112,34.9317485541
2005-07-13 00:00:00+00:00,12.9506623786,23.3220810144,15.0069167201,10.7229162027,21.5844418614,48.8207081055,35.70850143,18.0550360566,37.6907825046,35.4997008721,34.6279031108
2005-07-14 00:00:00+00:00,12.9997664397,23.0544168231,15.038404166,10.7939141995,21.7616217015,49.11342666,35.7562057275,17.6411349822,37.9290213232,35.4405100412,34.0516445114
2005-07-15 00:00:00+00:00,13.0446005824,23.0602995526,15.0258091877,10.7828207625,21.7143737442,49.3270320917,35.8406056384,17.5337444331,37.9360283473,35.4449493535,34.2088059476
2005-07-18 00:00:00+00:00,13.0381957049,23.0161790815,14.8935619148,10.7606338885,21.6553137974,49.0896927231,35.4956668721,17.4957102804,37.8449370343,35.4035157718,34.3502512402
2005-07-19 00:00:00+00:00,13.0680851334,23.0985372942,14.9250493607,10.9381288805,21.8679296056,49.1450719091,35.5763972217,17.8335430492,38.006098588,36.0546149125,34.5807546799
2005-07-20 00:00:00+00:00,13.1214591129,23.1661886832,14.9502393175,10.9026298821,22.1041693925,49.7779768918,35.7048318687,17.8626279896,38.0271196603,36.6391243683,34.9160324105
2005-07-21 00:00:00+00:00,13.0680851334,22.7838112671,14.8620744689,10.7872581373,22.0017988182,49.2083624074,35.5507102923,17.6702199225,37.8589510824,36.5429392679,34.3450125256
2005-07-22 00:00:00+00:00,13.1299989496,23.0073549873,14.830587023,10.7983515743,22.0726707543,49.224185032,35.6901536233,18.2787663671,38.0341266843,36.7945002995,34.6750515416
2005-07-25 00:00:00+00:00,13.0595452967,22.9897067989,14.8746694473,10.7473217641,21.8954909141,48.8760872915,35.6020841511,18.5024966776,37.8799721547,36.4689507292,34.7588709743
2005-07-26 00:00:00+00:00,13.1556184597,22.9749999752,14.9313468499,10.8050076365,21.9860494991,49.0501361617,35.6718058166,18.3637838851,37.8449370343,36.0102217892,35.0731938467
2005-07-27 00:00:00+00:00,13.1833729291,23.0897132,15.0950815687,10.8271945105,22.0569214351,49.4852583373,35.6571275712,18.4241910689,37.9290213232,36.2321874054,35.1203422776
