Date,IYH,IYM,IYHMA10,IYHMA50,IYHsignal,IYHPosition,IYMMA10,IYMMA50,IYMsignal,IYMPosition
2008-04-08,52.4744534778,62.4698870296,51.86252312749,52.88837475842401,0.0,0.0,59.772623963579996,58.52447884027399,1.0,0.0
2008-04-09,52.1322287812,62.10465694,51.919560576920006,52.845731975952006,0.0,0.0,60.108324811900005,58.646589424182,1.0,0.0
2008-04-10,52.6537140332,62.3066991173,52.02956137225,52.811050047634,0.0,0.0,60.53339046939,58.76592019662999,1.0,0.0
2008-04-11,51.8714861553,61.5451555261,52.101265594400004,52.770306601377996,0.0,0.0,60.908722667860005,58.876530722488006,1.0,0.0
2008-04-14,51.7492630493,61.4752178494,52.173784637249994,52.71704838018201,0.0,0.0,61.28871737811001,58.96900088707,1.0,0.0
2008-04-15,51.5129650445,61.8793022039,52.103710056509996,52.64655752006401,0.0,0.0,61.59255772926,59.040409940082,1.0,0.0
2008-04-16,51.8551897411,64.731205244,52.09719149086,52.579500241472,0.0,0.0,62.11087362239,59.175989288824006,1.0,0.0
2008-04-17,51.4803722163,64.2804957718,52.05889491767,52.523950267222,0.0,0.0,62.47221828552,59.346575575588005,1.0,0.0
2008-04-18,51.9040789835,65.2207689812,52.018968703069994,52.476063930558006,0.0,0.0,62.789269086720005,59.54340959124,1.0,0.0
2008-04-21,51.6759291858,65.5782282178,51.930968066800006,52.421988729694,0.0,0.0,63.15916168811,59.740417121732,1.0,0.0
2008-04-22,51.1055546915,64.7856012148,51.79407818817,52.36949999097,0.0,0.0,63.39073310663,59.899249968508,1.0,0.0
2008-04-23,51.700373807,63.697681799,51.75089269074999,52.328582785753994,0.0,0.0,63.550035592529994,60.01198708979,1.0,0.0
2008-04-24,51.7573297743,62.4543453237,51.66125426486,52.277434991862,0.0,0.0,63.56480021317001,60.102027689976005,1.0,0.0
2008-04-25,52.1811180236,64.3193500366,51.69221745169,52.22794113814199,0.0,0.0,63.842219664219996,60.212471761794006,1.0,0.0
2008-04-28,52.360378579,63.6588275341,51.753329004659996,52.195838569558,0.0,0.0,64.06058063268999,60.315130904588,1.0,0.0
2008-04-29,51.9937092612,61.591780644,51.80140342633,52.150717760606,0.0,0.0,64.03182847669999,60.381254571062,1.0,0.0
2008-04-30,51.7817743955,62.112427793,51.79406189177,52.098759463936005,0.0,0.0,63.7699507316,60.42740826276399,1.0,0.0
2008-05-01,52.5070463061,61.6384057618,51.896729300749996,52.063742971482,0.0,0.0,63.50574173059999,60.44889005496599,1.0,0.0
2008-05-02,52.5640837555,62.6175332361,51.962729777949995,52.04204905804,0.0,0.0,63.24541815609,60.51165648076199,1.0,0.0
2008-05-05,52.3928899252,63.8686405643,52.03442585189,52.01546944839001,1.0,1.0,63.07445939074,60.59014415993201,1.0,0.0
2008-05-06,52.230007266,64.7778303619,52.14687110934,51.965978833116004,1.0,0.0,63.07368230544999,60.65379746423199,1.0,0.0
2008-05-07,51.6514845646,63.9696616529,52.14198218509999,51.902318973408,1.0,0.0,63.10088029084001,60.701907453897995,1.0,0.0
2008-05-08,51.7981522917,65.3373317757,52.14606443684001,51.848739141858005,1.0,0.0,63.38917893603999,60.777835890679995,1.0,0.0
2008-05-09,51.5667432112,64.6301841554,52.0846269556,51.799139621914,1.0,0.0,63.420262347919994,60.83946636017,1.0,0.0
2008-05-12,51.8959307765,65.4383528644,52.03818217535,51.770579624906006,1.0,0.0,63.59821488095,60.96097440183,1.0,0.0
2008-05-13,51.6840773928,66.1144170728,52.00721898851,51.73697043822201,1.0,0.0,64.05047852383001,61.080967283667995,1.0,0.0
2008-05-14,51.838893327,66.0755628079,52.01293088166,51.707594541024,1.0,0.0,64.44679202532,61.226225581137996,1.0,0.0
2008-05-15,51.8714861553,67.3266701362,51.94937486658,51.67919534919199,1.0,0.0,65.01561846276,61.367518241400006,1.0,0.0
