,IVV
2014-04-15,158.7803528456
2014-04-16,160.3993368058
2014-04-17,160.6477523341
2014-04-21,161.2302439177
2014-04-22,161.906962081
2014-04-23,161.5728860257
2014-04-24,161.9155281337
2014-04-25,160.5706578598
2014-04-28,161.1017531272
2014-04-29,161.7870373432
2014-04-30,162.3609628741
2014-05-01,162.2581702417
2014-05-02,162.1211133985
2014-05-05,162.4123591903
2014-05-06,161.0075265475
2014-05-07,161.8898299756
2014-05-08,161.7870373432
2014-05-09,162.078283135
2014-05-12,163.5088139359
2014-05-13,163.7315313061
2014-05-14,162.9177562996
2014-05-15,161.5129236568
2014-05-16,162.1039812931
2014-05-19,162.6436426132
2014-05-20,161.6242823419
2014-05-21,162.9777186685
2014-05-22,163.3888891981
2014-05-23,164.0827394668
2014-05-27,165.0935336854
2014-05-28,164.9479107895
2014-05-29,165.7788179014
2014-05-30,166.0700636932
2014-06-02,166.275648958
2014-06-03,166.1728563256
2014-06-04,166.4726681701
2014-06-05,167.5776889684
2014-06-06,168.4257281857
2014-06-09,168.6141813451
2014-06-10,168.5799171343
2014-06-11,168.0402558142
2014-06-12,166.8067442254
2014-06-13,167.3464055455
2014-06-16,167.5005944941
2014-06-17,167.8946329183
2014-06-18,169.2052389813
2014-06-19,169.3422958245
2014-06-20,169.6592397744
2014-06-23,169.6935039852
2014-06-24,168.6786528841
2014-06-25,169.3671371816
2014-06-26,169.2466524295
2014-06-27,169.7630156526
2014-06-30,169.5392582559
2014-07-01,170.6580452394
2014-07-02,170.82156026
2014-07-03,171.6993777393
2014-07-07,171.1313781939
2014-07-08,170.0298033179
2014-07-09,170.7871360451
2014-07-10,170.0211972642
2014-07-11,170.3138030906
2014-07-14,171.1313781939
2014-07-15,170.82156026
2014-07-16,171.5100445575
2014-07-17,171.2088326774
2014-07-18,171.2088326774
2014-07-21,170.8904086898
2014-07-22,171.6993777393
2014-07-23,172.0350138343
2014-07-24,172.0264077806
2014-07-25,171.2690750534
2014-07-28,171.3293174294
2014-07-29,170.5633786485
2014-07-30,170.6150149708
2014-07-31,167.1725934833
2014-08-01,166.7336847437
2014-08-04,167.9213201569
2014-08-05,166.2689578429
2014-08-06,166.3292002189
2014-08-07,165.4513827396
2014-08-08,167.3619266652
2014-08-11,167.886895942
2014-08-12,167.6459264379
2014-08-13,168.773319475
2014-08-14,169.4962279874
2014-08-15,169.5564703634
2014-08-18,170.9334389584
2014-08-19,171.8714988137
2014-08-20,172.3276196608
2014-08-21,172.7665284004
2014-08-22,172.5169528426
2014-08-25,173.4119824293
2014-08-26,173.5410732351
2014-08-27,173.5066490202
2014-08-28,173.3431339996
2014-08-29,173.8078609004
2014-09-02,173.7390124706
2014-09-03,173.7131943095
2014-09-04,173.420588483
2014-09-05,174.2123454251
2014-09-08,173.7820427392
2014-09-09,172.6976799707
2014-09-10,173.3517400533
2014-09-11,173.5152550739
2014-09-12,172.53416495
2014-09-15,172.3448317682
2014-09-16,173.6701640409
2014-09-17,173.8853153838
2014-09-18,174.797557078
2014-09-19,174.5910117888
2014-09-22,173.3173158384
2014-09-23,172.3620438756
2014-09-24,173.6906533336
2014-09-25,170.8374542893
2014-09-26,172.3072841
2014-09-29,171.8663351568
2014-09-30,171.4167401559
