,IYC,IDU,IYZ,IYW,IYJ,IYH,IYF,IYE,IYK,IYM,IYR,IYCMA10,IYCMA50,IYCsignal,IYCPosition,IDUMA10,IDUMA50,IDUsignal,IDUPosition,IYZMA10,IYZMA50,IYZsignal,IYZPosition,IYWMA10,IYWMA50,IYWsignal,IYWPosition,IYJMA10,IYJMA50,IYJsignal,IYJPosition,IYHMA10,IYHMA50,IYHsignal,IYHPosition,IYFMA10,IYFMA50,IYFsignal,IYFPosition,IYEMA10,IYEMA50,IYEsignal,IYEPosition,IYKMA10,IYKMA50,IYKsignal,IYKPosition,IYMMA10,IYMMA50,IYMsignal,IYMPosition,IYRMA10,IYRMA50,IYRsignal,IYRPosition,DateM,GDP,CPI,Growth,Inflation,Theme
30,9.7817202483,13.2055763589,9.7202347751,7.0508508571,15.0680624754,38.0450453428,24.7004781835,8.6619419431,29.3957258639,25.1416615743,18.4314166514,9.51266989529,,0.0,0.0,13.822490811829999,,0.0,0.0,9.716113536890001,,0.0,0.0,6.974424787089999,,0.0,0.0,15.03514773389,,0.0,0.0,37.91198825056,,0.0,0.0,24.889894771839998,,0.0,0.0,8.621235315129999,,0.0,0.0,29.13772790615,,0.0,0.0,25.02562313629,,0.0,0.0,18.499134842860002,,0.0,0.0,2002-09,2.1406699897993158,2.2447888829502998,low,high,Stagflation
31,9.7795984001,13.3328845865,10.085258734,7.0443000511,15.1446083858,38.014101833,24.5998723033,8.700506117,29.3823580941,25.3174773895,18.460470661,9.53112997471,,0.0,0.0,13.71958332785,,0.0,0.0,9.68903111414,,0.0,0.0,6.9484399233000005,,0.0,0.0,14.98998564671,,0.0,0.0,37.85319558187,,0.0,0.0,24.78790122429,,0.0,0.0,8.5918836939,,0.0,0.0,29.112329143470003,,0.0,0.0,24.97780123455,,0.0,0.0,18.49689991905,,0.0,0.0,2002-09,2.1406699897993158,2.2447888829502998,low,high,Stagflation
32,9.5377077042,12.948307649,9.8379844393,6.7254941591,14.8690431082,37.2791934744,24.0205211998,8.4626937114,28.9813249991,24.9166173309,18.3263752324,9.53282745328,,0.0,0.0,13.576096346329999,,0.0,0.0,9.66312618803,,0.0,0.0,6.9132839311,,0.0,0.0,14.942909911780001,,0.0,0.0,37.74102535871,,0.0,0.0,24.67654092237,,0.0,0.0,8.56038961857,,0.0,0.0,29.06487356056,,0.0,0.0,24.95037396738,,0.0,0.0,18.4658344781,,0.0,0.0,2002-09,2.1406699897993158,2.2447888829502998,low,high,Stagflation
33,9.6544093557,13.0735736404,9.7573847942,6.8324906571,14.5784365591,37.6741873775,24.2580898439,8.5498058953,29.1689416487,24.6413600906,18.3966032433,9.54343669433,,0.0,0.0,13.46661922735,,0.0,0.0,9.643880005429999,,0.0,0.0,6.8798748204999995,,0.0,0.0,14.877872678949998,,0.0,0.0,37.659845060660004,,0.0,0.0,24.56985705929,,0.0,0.0,8.54660506886,,0.0,0.0,29.070267455689997,,0.0,0.0,24.88276223749,,0.0,0.0,18.4505080411,,0.0,0.0,2002-09,2.1406699897993158,2.2447888829502998,low,high,Stagflation
34,9.6225816326,13.2210703687,9.6389699302,6.7014745371,14.6129826173,37.7749204988,24.0177382932,8.6272380996,29.4036882474,24.5636270934,18.3739333687,9.550650978250001,,0.0,0.0,13.375339712369998,,0.0,0.0,9.61867981964,,0.0,0.0,6.839696543700001,,0.0,0.0,14.81782097015,,0.0,0.0,37.59415318895999,,0.0,0.0,24.43879112431,,0.0,0.0,8.52920873283,,0.0,0.0,29.08309468689,,0.0,0.0,24.77573036114,,0.0,0.0,18.42419841378,,0.0,0.0,2002-09,2.1406699897993158,2.2447888829502998,low,high,Stagflation
35,9.4634430168,12.5586759709,9.4731891206,6.5726420191,14.3749986608,37.0697886495,23.5649020382,8.2960003366,28.726276634,23.9064299359,18.1948413593,9.57420349338,,0.0,0.0,13.26476566654,,0.0,0.0,9.62988890175,,0.0,0.0,6.8244113297,,0.0,0.0,14.79673851229,,0.0,0.0,37.63432613839,,0.0,0.0,24.368598113330002,,0.0,0.0,8.517252794380001,,0.0,0.0,29.098361548369997,,0.0,0.0,24.69791930925,,0.0,0.0,18.39942342266,,0.0,0.0,2002-09,2.1406699897993158,2.2447888829502998,low,high,Stagflation
36,9.4422245347,12.8858505317,9.514634323,6.4525439092,14.3519679553,37.2170139807,23.5614186824,8.3067548095,28.6189639032,23.8710967554,18.1925743718,9.57420349338,,0.0,0.0,13.193539713639998,,0.0,0.0,9.632878789360001,,0.0,0.0,6.77964748871,,0.0,0.0,14.74311734924,,0.0,0.0,37.580919336520004,,0.0,0.0,24.2581613315,,0.0,0.0,8.508086266500001,,0.0,0.0,29.066804158220002,,0.0,0.0,24.60532272714,,0.0,0.0,18.36972839279,,0.0,0.0,2002-09,2.1406699897993158,2.2447888829502998,low,high,Stagflation
37,9.1939682942,12.6793551122,8.9995296645,6.1905116692,14.0026689225,36.2251801706,22.6418127492,8.1497395062,28.0354509293,23.298699231,18.0565551242,9.572081645169998,,0.0,0.0,13.106173051849998,,0.0,0.0,9.61320687884,,0.0,0.0,6.734883647719999,,0.0,0.0,14.689011942619999,,0.0,0.0,37.4631406022,,0.0,0.0,24.09739397576,,0.0,0.0,8.48364669911,,0.0,0.0,28.977563859170004,,0.0,0.0,24.53565840432,,0.0,0.0,18.33268922483,,0.0,0.0,2002-09,2.1406699897993158,2.2447888829502998,low,high,Stagflation
38,9.2724766779,12.4567691405,9.2008349333,6.1905116692,14.064084137,36.2329288723,22.6034958353,8.1196269823,27.8208254677,23.7226973972,18.1358996853,9.54025392202,,0.0,0.0,12.99124328341,,0.0,0.0,9.58187308588,,0.0,0.0,6.670467388730001,,0.0,0.0,14.61004696371,,0.0,0.0,37.33608009736,,0.0,0.0,23.89463407751,,0.0,0.0,8.44419813635,,0.0,0.0,28.88691266871,,0.0,0.0,24.44158388834,,0.0,0.0,18.30313752822,,0.0,0.0,2002-09,2.1406699897993158,2.2447888829502998,low,high,Stagflation
39,9.0602918569,12.2288196514,9.0764993261,6.0180071112,13.8606462388,35.7292632656,22.6243959702,8.126079666,27.8878959244,23.2138995978,18.0837589737,9.48084217214,,0.0,0.0,12.85908830102,,0.0,0.0,9.53045200403,,0.0,0.0,6.57788266394,,0.0,0.0,14.49274990602,,0.0,0.0,37.12616234652,,0.0,0.0,23.6592725099,,0.0,0.0,8.4000387067,,0.0,0.0,28.74214517118,,0.0,0.0,24.2593566396,,0.0,0.0,18.26524286711,,0.0,0.0,2002-09,2.1406699897993158,2.2447888829502998,low,high,Stagflation
