,IVV
2003-09-15 00:00:00+00:00,70.7956567065
2003-09-16 00:00:00+00:00,71.8396351283
2003-09-17 00:00:00+00:00,71.7073978615
2003-09-18 00:00:00+00:00,72.5425805989
2003-09-19 00:00:00+00:00,72.208507504
2003-09-22 00:00:00+00:00,71.4220437596
2003-09-23 00:00:00+00:00,71.7073978615
2003-09-24 00:00:00+00:00,70.3989449063
2003-09-25 00:00:00+00:00,69.8003972778
2003-09-26 00:00:00+00:00,69.5916015934
2003-09-29 00:00:00+00:00,70.2458280711
2003-09-30 00:00:00+00:00,69.5289628881
2003-10-01 00:00:00+00:00,71.0462115277
2003-10-02 00:00:00+00:00,71.3315656297
2003-10-03 00:00:00+00:00,71.9649125389
2003-10-06 00:00:00+00:00,72.3129053461
2003-10-07 00:00:00+00:00,72.5773798796
2003-10-08 00:00:00+00:00,72.3894637637
2003-10-09 00:00:00+00:00,72.6330587288
2003-10-10 00:00:00+00:00,72.5634601673
2003-10-13 00:00:00+00:00,73.0784895221
2003-10-14 00:00:00+00:00,73.3081647749
2003-10-15 00:00:00+00:00,73.0924092344
2003-10-16 00:00:00+00:00,73.4264823293
2003-10-17 00:00:00+00:00,72.6121791604
2003-10-20 00:00:00+00:00,73.1063289467
2003-10-21 00:00:00+00:00,73.0436902413
2003-10-22 00:00:00+00:00,72.1180293741
2003-10-23 00:00:00+00:00,71.9440329704
2003-10-24 00:00:00+00:00,72.0901899495
2003-10-27 00:00:00+00:00,72.1249892302
2003-10-28 00:00:00+00:00,73.0854493782
2003-10-29 00:00:00+00:00,73.2455260695
2003-10-30 00:00:00+00:00,73.3986429047
2003-10-31 00:00:00+00:00,73.2872852064
2003-11-03 00:00:00+00:00,73.795354705
2003-11-04 00:00:00+00:00,73.6074385891
2003-11-05 00:00:00+00:00,73.7187962874
2003-11-06 00:00:00+00:00,74.1224679438
2003-11-07 00:00:00+00:00,73.5656794522
2003-11-10 00:00:00+00:00,73.2733654941
2003-11-11 00:00:00+00:00,73.1480880835
2003-11-12 00:00:00+00:00,74.0111102455
2003-11-13 00:00:00+00:00,74.0876686631
2003-11-14 00:00:00+00:00,73.4404020416
2003-11-17 00:00:00+00:00,73.0784895221
2003-11-18 00:00:00+00:00,72.3337849146
2003-11-19 00:00:00+00:00,72.9532121115
2003-11-20 00:00:00+00:00,72.2989856338
2003-11-21 00:00:00+00:00,72.6052193042
2003-11-24 00:00:00+00:00,73.4682414662
2003-11-25 00:00:00+00:00,73.795354705
2003-11-26 00:00:00+00:00,74.0528693824
2003-11-28 00:00:00+00:00,74.178146793
2003-12-01 00:00:00+00:00,74.9089316882
2003-12-02 00:00:00+00:00,74.7488549969
2003-12-03 00:00:00+00:00,74.6374972985
2003-12-04 00:00:00+00:00,74.901971832
2003-12-05 00:00:00+00:00,74.3869424773
2003-12-08 00:00:00+00:00,74.8602126952
2003-12-09 00:00:00+00:00,74.2895044913
2003-12-10 00:00:00+00:00,74.3521431966
2003-12-11 00:00:00+00:00,75.1734062217
2003-12-12 00:00:00+00:00,75.3056434885
2003-12-15 00:00:00+00:00,74.9259833358
2003-12-16 00:00:00+00:00,75.3455800317
2003-12-17 00:00:00+00:00,75.5623716579
2003-12-18 00:00:00+00:00,76.4015650498
2003-12-19 00:00:00+00:00,76.1637935887
2003-12-22 00:00:00+00:00,76.72325585
2003-12-23 00:00:00+00:00,76.7582222413
2003-12-24 00:00:00+00:00,76.6812961804
2003-12-26 00:00:00+00:00,76.7792020761
2003-12-29 00:00:00+00:00,77.7582610332
2003-12-30 00:00:00+00:00,77.7862341463
2003-12-31 00:00:00+00:00,77.779240868
2004-01-02 00:00:00+00:00,77.8701534855
2004-01-05 00:00:00+00:00,78.6324208164
