,IDU,IYH,IYK,IYE,IYF,IYC,IYZ,IYW,IYM,IYJ
2013-09-12,0.0,0.2703259715010227,0.2894363292339093,0.0,0.2031753215440429,0.2368333127993719,0.0,0.0,0.0,0.0
2013-09-13,0.0,0.2696557482214734,0.2903487073817194,0.0,0.20296850525271665,0.23679882577290845,0.0,0.0,0.0,0.0
2013-09-16,0.0,0.27011034004541506,0.29006330045540313,0.0,0.20340871494758742,0.23619126092508827,0.0,0.0,0.0,0.0
2013-09-17,0.0,0.2691669700042385,0.2900167926878493,0.0,0.2035333174325911,0.23705751300043734,0.0,0.0,0.0,0.0
2013-09-18,0.0,0.26836682555644736,0.2907212926838922,0.0,0.2038061463849063,0.23688249230375516,0.0,0.0,0.0,0.0
2013-09-19,0.0,0.268023149062675,0.2908492681171097,0.0,0.20333137074941035,0.23757239900812865,0.0,0.0,0.0,0.0
2013-09-20,0.0,0.26884984949210716,0.2904504772655434,0.0,0.20320724371196552,0.2372674735868175,0.0,0.0,0.0,0.0
2013-09-23,0.0,0.26891721019988263,0.2905947528999815,0.0,0.20247318651060064,0.23778805198414624,0.0,0.0,0.0,0.0
2013-09-24,0.0,0.26823713895167184,0.29119265821485546,0.0,0.20199629001565703,0.2383466674135566,0.0,0.0,0.0,0.0
2013-09-25,0.0,0.2675331702216637,0.2904836115410235,0.0,0.20381905467933648,0.23793585856191227,0.0,0.0,0.0,0.0
2013-09-26,0.0,0.26760261960149245,0.29031445849740073,0.0,0.20306051009170362,0.23879504861067155,0.0,0.0,0.0,0.0
2013-09-27,0.0,0.2679379842467869,0.2897351902513171,0.0,0.2029997916594726,0.23909921575776513,0.0,0.0,0.0,0.0
2013-09-30,0.0,0.2686128150986135,0.28914181643012715,0.0,0.20225665102205267,0.23975981291588347,0.0,0.0,0.0,0.0
2013-10-01,0.0,0.0,0.0,0.0,0.0,0.27089796423455187,0.2692956742686495,0.23499852610913813,0.22398552769973282,0.0
2013-10-02,0.0,0.0,0.0,0.0,0.0,0.2704990260060622,0.26938311172072854,0.23505746084993762,0.22423871249956398,0.0
2013-10-03,0.0,0.0,0.0,0.0,0.0,0.2704031348297772,0.26947012971876655,0.23467870107107808,0.22461893777542655,0.0
2013-10-04,0.0,0.0,0.0,0.0,0.0,0.27055181419082797,0.2681058265176916,0.23440533994688237,0.22611420571675786,0.0
2013-10-07,0.0,0.0,0.0,0.0,0.0,0.2693149277966034,0.2701228647035582,0.23462272604579743,0.225110477559735,0.0
2013-10-08,0.0,0.0,0.0,0.0,0.0,0.26963018557509955,0.270286802343362,0.2340657411863697,0.22517529694719993,0.0
2013-10-09,0.0,0.0,0.0,0.0,0.0,0.26862085229123395,0.2704987020036414,0.23462588256073494,0.22541285473743677,0.0
2013-10-10,0.0,0.0,0.0,0.0,0.0,0.2690868052302497,0.27051446092384274,0.23416067377743202,0.22541262395388123,0.0
2013-10-11,0.0,0.0,0.0,0.0,0.0,0.26903675440151104,0.2709631525515542,0.23393191270204194,0.2252496049544361,0.0
2013-10-14,0.0,0.0,0.0,0.0,0.0,0.2694084677568842,0.270021898516038,0.23454849478132891,0.22520511697924883,0.0
2013-10-15,0.0,0.0,0.0,0.0,0.0,0.2689770588156211,0.2703332587134568,0.23424090026436659,0.22562861094000428,0.0
2013-10-16,0.0,0.0,0.0,0.0,0.0,0.2690661095306956,0.2709058639081873,0.23391695682946928,0.22529987673205895,0.0
2013-10-17,0.0,0.0,0.0,0.0,0.0,0.2684642012682815,0.2732091754157371,0.23154938767547584,0.22597275215488463,0.0
2013-10-18,0.0,0.0,0.0,0.0,0.0,0.2675862208646984,0.27299658176342056,0.23384662227811437,0.22477389490399885,0.0
2013-10-21,0.0,0.0,0.0,0.0,0.0,0.26756521216548257,0.2719632553566547,0.2348829767937542,0.22479243047728292,0.0
2013-10-22,0.0,0.0,0.0,0.0,0.0,0.26792670084958803,0.2717287076805881,0.23303243390441958,0.2265199934890413,0.0
2013-10-23,0.0,0.0,0.0,0.0,0.0,0.26810333664524866,0.271885972639436,0.232589673042802,0.22662511869742313,0.0
2013-10-24,0.0,0.0,0.0,0.0,0.0,0.2696038696237201,0.2710828052693786,0.23224795025679007,0.22627346375160676,0.0
2013-10-25,0.0,0.0,0.0,0.0,0.0,0.2701456694375901,0.2709595208252651,0.23245777892222313,0.22564710913024427,0.0
2013-10-28,0.0,0.0,0.0,0.0,0.0,0.27009586936961577,0.27209413063683313,0.23262134696294115,0.2243989454973877,0.0
2013-10-29,0.0,0.0,0.0,0.0,0.0,0.270082595696415,0.2730297011023394,0.23229046776477308,0.22381152119275918,0.0
2013-10-30,0.0,0.0,0.0,0.0,0.0,0.2694701791219381,0.27316241924283857,0.23293845623459805,0.22364017815488518,0.0
2013-10-31,0.0,0.0,0.0,0.0,0.0,0.2705305340038024,0.27236073552952367,0.23296196120190785,0.22335736637485173,0.0
2013-11-01,0.0,0.0,0.0,0.0,0.0,0.27204416067664894,0.2704484847384247,0.23331004948255935,0.22340670348157365,0.0
2013-11-04,0.0,0.0,0.0,0.0,0.0,0.2713236468339181,0.271649827092163,0.23296230025753376,0.22327795607758538,0.0
2013-11-05,0.0,0.0,0.0,0.0,0.0,0.27173503683760736,0.2716209717012648,0.2334812267471369,0.2223755059352778,0.0
