,IYC,IDU,IYZ,IYW,IYJ,IYH,IYF,IYE,IYK,IYM,IYR
2017-12-19,43.4631856082,59.6566702375,26.193280929,40.2074916889,69.9671930033,166.0059187132,55.3878432719,31.5780402376,116.4592493908,93.8850647396,71.2650275882
2017-12-20,43.397772787,59.2312791402,26.3645377555,40.1977715168,70.1198764578,165.5907623858,55.1788851106,32.0522099672,116.1844733403,94.1359949264,70.5211152833
2017-12-21,43.6255063125,58.5533120789,26.4997405132,40.0641191511,70.1628186793,165.2510890271,55.462139507,32.759305178,116.3218613655,94.4055125346,70.2642884161
2017-12-22,43.5697842797,58.6463663815,26.5718486507,40.0228084199,70.1580473214,164.7698851022,55.4528524776,32.8424928498,116.221110147,94.6843238534,70.7070933595
2017-12-26,43.6473105862,58.2963049576,26.6619838225,39.7069028283,70.2009895429,164.8453680708,55.3599821837,33.1419684685,116.3401797689,94.6843238534,71.0524812153
2017-12-27,43.5940112505,58.5400186071,26.589875685,39.7384933874,70.3632157133,165.2982658824,55.4342784188,32.9922306592,116.1661549369,94.7493798277,71.3093080825
2017-12-28,43.703032619,58.8501996156,26.7431054771,39.7943843767,70.5158991678,165.5152794172,55.6803846976,33.0587807967,116.2302693487,95.2977087546,71.7255447293
2017-12-29,43.426845152,58.8767865592,26.5087540304,39.5538101185,70.3250448497,164.3924702591,55.4574959923,32.983911892,116.0745629201,94.9817225934,71.743256927
2018-01-02,44.0107151482,58.420377361,26.6529703053,40.1516006996,70.7783238551,166.2512383611,55.3367646102,33.5412692934,115.9096972898,96.4222477403,71.3801568734
2018-01-03,44.1851493379,57.9551058484,26.3645377555,40.5647080118,71.3079445877,167.8835575573,55.522505198,34.0320765574,115.9738117016,96.9426955354,71.2650275882
2018-01-04,44.2021082174,57.4588162349,26.5087540304,40.790702012,71.870964826,168.0628296077,55.7918290503,34.2234082027,116.5508414076,97.7419546492,70.1491591308
2018-01-05,44.5509765969,57.4588162349,26.4005918242,41.179508894,72.3862714848,169.4215230427,56.0147177556,34.1984519011,116.972164685,98.6248571586,70.2200079218
2018-01-08,44.6115440239,57.9240877475,26.5988892022,41.3520419479,72.7966082687,168.6006457591,56.0657964172,34.4064210808,117.4942391809,98.6527382905,70.6185323708
2018-01-09,44.6478844801,57.3967800332,26.3465107211,41.2426900123,73.1067465355,170.5537675718,56.2608240344,34.3065958745,117.3385327523,98.4203955248,69.803771275
2018-01-10,44.735101575,56.6789325565,26.0130105854,41.0847372165,72.9826912288,170.2707064396,56.4279905634,34.2566832714,116.7065478362,98.1044093636,68.9535857837
2018-01-11,45.4716014872,56.501686266,26.3465107211,41.3155913027,73.750879859,171.0444068678,56.6648098128,34.955459715,116.9263686766,99.5635219318,68.7144711143
2018-01-12,46.0482033921,56.200367572,26.6349432709,41.5464453889,74.2852719496,172.2143928812,56.9852123267,35.2549353337,117.0179606934,99.5635219318,68.1565368856
2018-01-16,45.8374287462,56.0718640114,26.2653890665,41.3544719909,73.650681342,172.799385888,56.8830550034,34.8057219057,116.8714134665,98.3739269717,68.3425149618
2018-01-17,46.0796984541,56.4573746933,26.2563755493,41.9960033463,74.1516739269,174.4694465684,57.328832414,35.0802412228,118.0254728785,98.7921439499,68.8296003996
2018-01-18,46.1184616074,56.0718640114,26.1211727916,42.0567544216,73.8749351657,174.6487186189,57.1755964291,34.7974031385,117.576671996,98.4947452098,68.1565368856
2018-01-19,46.4891342606,55.9566539226,26.3194701696,42.1053552818,74.2709578757,175.2431469967,57.5517211194,34.7641280698,119.1245770803,99.2196546386,68.599341829
2018-01-22,46.9785190707,56.014258967,26.7791595458,42.4771518628,74.2184729383,176.9226430482,58.0439336769,35.5044983493,119.5733779628,99.1081301111,69.1572760577
2018-01-23,47.3152739647,56.5149797377,26.4366458929,42.7881973684,74.2805005916,176.2055548464,58.2064566912,35.4712232806,119.5550595594,99.0430741368,70.1137347354
